Run,Method,Fault Detection Loss,Pos of First Fault Detected,Average Percentage of Faults Detected,Test Suite Reduction
0,function,0.375,1,0.5048484848484848,0.5
0,line,0.20833333333333334,1,0.5507177033492823,0.5
0,branch,0.20833333333333334,1,0.6043062200956937,0.5
0,ga_multi,0.25,1,0.5919191919191918,0.5
0,majority ensemble,0.25,1,0.7549019607843137,0.5363636363636364
0,union ensemble,0.20833333333333334,1,0.8208363374188897,0.33636363636363636
0,intersection ensemble,0.375,1,0.759047619047619,0.6818181818181818
1,function,0.375,1,0.5036363636363635,0.5
1,line,0.20833333333333334,1,0.5507177033492823,0.5
1,branch,0.20833333333333334,1,0.6043062200956937,0.5
1,ga_multi,0.25,1,0.5919191919191918,0.5
1,majority ensemble,0.25,1,0.7549019607843137,0.5363636363636364
1,union ensemble,0.20833333333333334,1,0.8208363374188897,0.33636363636363636
1,intersection ensemble,0.375,1,0.759047619047619,0.6818181818181818
2,function,0.375,1,0.5048484848484848,0.5
2,line,0.20833333333333334,1,0.5507177033492823,0.5
2,branch,0.20833333333333334,1,0.6043062200956937,0.5
2,ga_multi,0.25,1,0.5919191919191918,0.5
2,majority ensemble,0.25,1,0.7549019607843137,0.5363636363636364
2,union ensemble,0.20833333333333334,1,0.8208363374188897,0.33636363636363636
2,intersection ensemble,0.375,1,0.759047619047619,0.6818181818181818
3,function,0.375,1,0.5036363636363635,0.5
3,line,0.20833333333333334,1,0.5507177033492823,0.5
3,branch,0.20833333333333334,1,0.6043062200956937,0.5
3,ga_multi,0.25,1,0.5919191919191918,0.5
3,majority ensemble,0.25,1,0.7549019607843137,0.5363636363636364
3,union ensemble,0.20833333333333334,1,0.8208363374188897,0.33636363636363636
3,intersection ensemble,0.375,1,0.7657407407407407,0.6727272727272727
4,function,0.375,1,0.5048484848484848,0.5
4,line,0.20833333333333334,1,0.5507177033492823,0.5
4,branch,0.20833333333333334,1,0.6043062200956937,0.5
4,ga_multi,0.25,1,0.5919191919191918,0.5
4,majority ensemble,0.25,1,0.7549019607843137,0.5363636363636364
4,union ensemble,0.20833333333333334,1,0.8208363374188897,0.33636363636363636
4,intersection ensemble,0.375,1,0.759047619047619,0.6818181818181818
5,function,0.375,1,0.5036363636363635,0.5
5,line,0.20833333333333334,1,0.5507177033492823,0.5
5,branch,0.20833333333333334,1,0.6043062200956937,0.5
5,ga_multi,0.25,1,0.5919191919191918,0.5
5,majority ensemble,0.25,1,0.7549019607843137,0.5363636363636364
5,union ensemble,0.20833333333333334,1,0.8208363374188897,0.33636363636363636
5,intersection ensemble,0.375,1,0.759047619047619,0.6818181818181818
6,function,0.375,1,0.5036363636363635,0.5
6,line,0.20833333333333334,1,0.5507177033492823,0.5
6,branch,0.20833333333333334,1,0.6043062200956937,0.5
6,ga_multi,0.25,1,0.5919191919191918,0.5
6,majority ensemble,0.25,1,0.7549019607843137,0.5363636363636364
6,union ensemble,0.20833333333333334,1,0.8208363374188897,0.33636363636363636
6,intersection ensemble,0.375,1,0.759047619047619,0.6818181818181818
7,function,0.375,1,0.5036363636363635,0.5
7,line,0.20833333333333334,1,0.5507177033492823,0.5
7,branch,0.20833333333333334,1,0.6043062200956937,0.5
7,ga_multi,0.25,1,0.5919191919191918,0.5
7,majority ensemble,0.25,1,0.7549019607843137,0.5363636363636364
7,union ensemble,0.20833333333333334,1,0.8208363374188897,0.33636363636363636
7,intersection ensemble,0.375,1,0.759047619047619,0.6818181818181818
8,function,0.375,1,0.5048484848484848,0.5
8,line,0.20833333333333334,1,0.5507177033492823,0.5
8,branch,0.20833333333333334,1,0.6043062200956937,0.5
8,ga_multi,0.25,1,0.5919191919191918,0.5
8,majority ensemble,0.25,1,0.7549019607843137,0.5363636363636364
8,union ensemble,0.20833333333333334,1,0.8208363374188897,0.33636363636363636
8,intersection ensemble,0.375,1,0.759047619047619,0.6818181818181818
9,function,0.375,1,0.5036363636363635,0.5
9,line,0.20833333333333334,1,0.5507177033492823,0.5
9,branch,0.20833333333333334,1,0.6043062200956937,0.5
9,ga_multi,0.25,1,0.5919191919191918,0.5
9,majority ensemble,0.25,1,0.7549019607843137,0.5363636363636364
9,union ensemble,0.20833333333333334,1,0.8208363374188897,0.33636363636363636
9,intersection ensemble,0.375,1,0.7657407407407407,0.6727272727272727
10,function,0.375,1,0.5036363636363635,0.5
10,line,0.20833333333333334,1,0.5507177033492823,0.5
10,branch,0.20833333333333334,1,0.6043062200956937,0.5
10,ga_multi,0.25,1,0.5919191919191918,0.5
10,majority ensemble,0.25,1,0.7549019607843137,0.5363636363636364
10,union ensemble,0.20833333333333334,1,0.8208363374188897,0.33636363636363636
10,intersection ensemble,0.375,1,0.759047619047619,0.6818181818181818
11,function,0.375,1,0.5048484848484848,0.5
11,line,0.20833333333333334,1,0.5507177033492823,0.5
11,branch,0.20833333333333334,1,0.6043062200956937,0.5
11,ga_multi,0.25,1,0.5919191919191918,0.5
