Run,Method,Fault Detection Loss,Pos of First Fault Detected,Average Percentage of Faults Detected,Test Suite Reduction
0,function,0.16666666666666666,1,0.9771739130434783,0.7513513513513513
0,line,0.0,1,0.9202898550724637,0.7513513513513513
0,branch,0.16666666666666666,1,0.9380434782608696,0.7513513513513513
0,ga_multi,0.16666666666666666,1,0.9380434782608696,0.7513513513513513
0,majority ensemble,0.16666666666666666,2,0.8838235294117647,0.8162162162162162
0,union ensemble,0.0,6,0.723744292237443,0.6054054054054054
0,intersection ensemble,0.3333333333333333,1,0.9787234042553191,0.8729729729729729
1,function,0.16666666666666666,1,0.9771739130434783,0.7513513513513513
1,line,0.0,1,0.9202898550724637,0.7513513513513513
1,branch,0.16666666666666666,1,0.9380434782608696,0.7513513513513513
1,ga_multi,0.16666666666666666,1,0.9380434782608696,0.7513513513513513
1,majority ensemble,0.16666666666666666,1,0.8867647058823529,0.8162162162162162
1,union ensemble,0.0,6,0.7248858447488585,0.6054054054054054
1,intersection ensemble,0.3333333333333333,1,0.9787234042553191,0.8729729729729729
2,function,0.16666666666666666,1,0.9771739130434783,0.7513513513513513
2,line,0.0,1,0.9202898550724637,0.7513513513513513
2,branch,0.16666666666666666,1,0.9380434782608696,0.7513513513513513
2,ga_multi,0.16666666666666666,1,0.9380434782608696,0.7513513513513513
2,majority ensemble,0.16666666666666666,3,0.8710144927536232,0.8135135135135135
2,union ensemble,0.0,5,0.7298850574712644,0.6081081081081081
2,intersection ensemble,0.3333333333333333,1,0.9739583333333333,0.8702702702702703
3,function,0.16666666666666666,1,0.9771739130434783,0.7513513513513513
3,line,0.0,1,0.9202898550724637,0.7513513513513513
3,branch,0.16666666666666666,1,0.9380434782608696,0.7513513513513513
3,ga_multi,0.16666666666666666,1,0.9380434782608696,0.7513513513513513
3,majority ensemble,0.16666666666666666,1,0.8884057971014493,0.8135135135135135
3,union ensemble,0.0,5,0.728310502283105,0.6054054054054054
3,intersection ensemble,0.3333333333333333,1,0.9787234042553191,0.8729729729729729
4,function,0.16666666666666666,1,0.9771739130434783,0.7513513513513513
4,line,0.0,1,0.9202898550724637,0.7513513513513513
