Run,Method,Fault Detection Loss,Pos of First Fault Detected,Average Percentage of Faults Detected,Test Suite Reduction
0,function,0.8,17,0.3552631578947368,0.9010416666666666
0,line,0.8666666666666667,10,0.7500000000000001,0.9010416666666666
0,branch,0.8666666666666667,11,0.7236842105263158,0.9010416666666666
0,ga_multi,0.8666666666666667,16,0.5921052631578948,0.9010416666666666
0,majority ensemble,0.8666666666666667,1,0.9814814814814815,0.9296875
0,union ensemble,0.8,2,0.9606481481481481,0.8125
0,intersection ensemble,0.8666666666666667,2,0.875,0.96875
1,function,0.8,17,0.3552631578947368,0.9010416666666666
1,line,0.8666666666666667,10,0.7500000000000001,0.9010416666666666
1,branch,0.8666666666666667,11,0.7236842105263158,0.9010416666666666
1,ga_multi,0.8666666666666667,16,0.5921052631578948,0.9010416666666666
1,majority ensemble,0.8666666666666667,1,0.9814814814814815,0.9296875
1,union ensemble,0.8,2,0.9595238095238094,0.8177083333333334
1,intersection ensemble,0.8666666666666667,3,0.8076923076923076,0.9661458333333334
2,function,0.8,17,0.3552631578947368,0.9010416666666666
2,line,0.8666666666666667,10,0.7500000000000001,0.9010416666666666
2,branch,0.8666666666666667,11,0.7236842105263158,0.9010416666666666
2,ga_multi,0.8666666666666667,16,0.5921052631578948,0.9010416666666666
2,majority ensemble,0.8666666666666667,2,0.9444444444444444,0.9296875
2,union ensemble,0.8,2,0.9589371980676329,0.8203125
2,intersection ensemble,0.8666666666666667,3,0.8076923076923076,0.9661458333333334
3,function,0.8,17,0.3552631578947368,0.9010416666666666
3,line,0.8666666666666667,10,0.7500000000000001,0.9010416666666666
3,branch,0.8666666666666667,11,0.7236842105263158,0.9010416666666666
3,ga_multi,0.8666666666666667,16,0.5921052631578948,0.9010416666666666
3,majority ensemble,0.8666666666666667,1,0.98,0.9348958333333334
3,union ensemble,0.8,2,0.960093896713615,0.8151041666666666
3,intersection ensemble,0.8666666666666667,2,0.8928571428571429,0.9635416666666666
4,function,0.8,17,0.3552631578947368,0.9010416666666666
4,line,0.8666666666666667,10,0.7500000000000001,0.9010416666666666
4,branch,0.8666666666666667,11,0.7236842105263158,0.9010416666666666
4,ga_multi,0.8666666666666667,16,0.5921052631578948,0.9010416666666666
4,majority ensemble,0.8666666666666667,1,0.9807692307692308,0.9322916666666666
4,union ensemble,0.8,2,0.9606481481481481,0.8125
4,intersection ensemble,0.8666666666666667,2,0.8846153846153846,0.9661458333333334
5,function,0.8,17,0.3552631578947368,0.9010416666666666
5,line,0.8666666666666667,10,0.7500000000000001,0.9010416666666666
