Run,Method,Fault Detection Loss,Pos of First Fault Detected,Average Percentage of Faults Detected,Test Suite Reduction
0,function,0.4489795918367347,8,0.38847039129525,0.5014084507042254
0,line,0.4897959183673469,11,0.3761581920903954,0.5014084507042254
0,branch,0.7142857142857143,13,0.4386602098466505,0.5014084507042254
0,ga_multi,0.4897959183673469,10,0.348135593220339,0.5014084507042254
0,majority ensemble,0.4897959183673469,1,0.965,0.5154929577464789
0,union ensemble,0.4489795918367347,1,0.9676145339652449,0.4056338028169014
0,intersection ensemble,0.7346938775510204,1,0.9539007092198581,0.6028169014084507
1,function,0.4489795918367347,8,0.38847039129525,0.5014084507042254
1,line,0.4897959183673469,11,0.3761581920903954,0.5014084507042254
1,branch,0.7142857142857143,13,0.4386602098466505,0.5014084507042254
1,ga_multi,0.4897959183673469,10,0.348135593220339,0.5014084507042254
1,majority ensemble,0.4897959183673469,1,0.965,0.5154929577464789
1,union ensemble,0.4489795918367347,1,0.9676145339652449,0.4056338028169014
1,intersection ensemble,0.7346938775510204,1,0.9539007092198581,0.6028169014084507
2,function,0.4489795918367347,8,0.38826114249843063,0.5014084507042254
2,line,0.4897959183673469,11,0.3761581920903954,0.5014084507042254
2,branch,0.7142857142857143,13,0.4386602098466505,0.5014084507042254
2,ga_multi,0.4897959183673469,10,0.348135593220339,0.5014084507042254
2,majority ensemble,0.4897959183673469,1,0.965,0.5154929577464789
2,union ensemble,0.4489795918367347,1,0.9676145339652449,0.4056338028169014
2,intersection ensemble,0.7346938775510204,1,0.9539007092198581,0.6028169014084507
3,function,0.4489795918367347,8,0.38826114249843063,0.5014084507042254
3,line,0.4897959183673469,11,0.3761581920903954,0.5014084507042254
3,branch,0.7142857142857143,13,0.4386602098466505,0.5014084507042254
3,ga_multi,0.4897959183673469,10,0.348135593220339,0.5014084507042254
3,majority ensemble,0.4897959183673469,1,0.965,0.5154929577464789
3,union ensemble,0.4489795918367347,1,0.9676145339652449,0.4056338028169014
3,intersection ensemble,0.7346938775510204,1,0.9539007092198581,0.6028169014084507
4,function,0.4489795918367347,8,0.38826114249843063,0.5014084507042254
4,line,0.4897959183673469,11,0.3761581920903954,0.5014084507042254
4,branch,0.7142857142857143,13,0.4386602098466505,0.5014084507042254
4,ga_multi,0.4897959183673469,10,0.348135593220339,0.5014084507042254
4,majority ensemble,0.4897959183673469,1,0.965,0.5154929577464789
4,union ensemble,0.4489795918367347,1,0.9676145339652449,0.4056338028169014
4,intersection ensemble,0.7346938775510204,1,0.9539007092198581,0.6028169014084507
5,function,0.4489795918367347,8,0.38826114249843063,0.5014084507042254
5,line,0.4897959183673469,11,0.3761581920903954,0.5014084507042254
5,branch,0.7142857142857143,13,0.4386602098466505,0.5014084507042254
5,ga_multi,0.4897959183673469,10,0.348135593220339,0.5014084507042254
5,majority ensemble,0.4897959183673469,1,0.965,0.5154929577464789
5,union ensemble,0.4489795918367347,1,0.9676145339652449,0.4056338028169014
5,intersection ensemble,0.7346938775510204,1,0.9539007092198581,0.6028169014084507
6,function,0.4489795918367347,8,0.38826114249843063,0.5014084507042254
6,line,0.4897959183673469,11,0.3761581920903954,0.5014084507042254
6,branch,0.7142857142857143,13,0.4386602098466505,0.5014084507042254
6,ga_multi,0.4897959183673469,10,0.348135593220339,0.5014084507042254
6,majority ensemble,0.4897959183673469,1,0.965,0.5154929577464789
6,union ensemble,0.4489795918367347,1,0.9676145339652449,0.4056338028169014
6,intersection ensemble,0.7346938775510204,1,0.9539007092198581,0.6028169014084507
7,function,0.4489795918367347,8,0.38847039129525,0.5014084507042254
7,line,0.4897959183673469,11,0.3761581920903954,0.5014084507042254
7,branch,0.7142857142857143,13,0.4386602098466505,0.5014084507042254
7,ga_multi,0.4897959183673469,10,0.348135593220339,0.5014084507042254
7,majority ensemble,0.4897959183673469,1,0.965,0.5154929577464789
7,union ensemble,0.4489795918367347,1,0.9676145339652449,0.4056338028169014
7,intersection ensemble,0.7346938775510204,1,0.9539007092198581,0.6028169014084507
8,function,0.4489795918367347,8,0.38847039129525,0.5014084507042254
8,line,0.4897959183673469,11,0.3761581920903954,0.5014084507042254
