Run,Method,Fault Detection Loss,Pos of First Fault Detected,Average Percentage of Faults Detected,Test Suite Reduction
0,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
0,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
0,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
0,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
0,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
0,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
0,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
1,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
1,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
1,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
1,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
1,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
1,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
1,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
2,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
2,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
2,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
2,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
2,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
2,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
2,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
3,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
3,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
3,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
3,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
3,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
3,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
3,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
4,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
4,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
4,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
4,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
4,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
4,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
4,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
5,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
5,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
5,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
5,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
5,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
5,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
5,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
6,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
6,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
6,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
6,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
6,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
6,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
6,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
7,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
7,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
7,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
7,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
7,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
7,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
7,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
8,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
8,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
8,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
8,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
8,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
8,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
8,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
9,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
9,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
9,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
9,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
9,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
9,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
9,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
10,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
10,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
10,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
10,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
10,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
10,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
10,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
11,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
11,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
11,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
11,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
11,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
11,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
11,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
12,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
12,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
12,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
12,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
12,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
12,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
12,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
13,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
13,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
13,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
13,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
13,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
13,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
13,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
14,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
14,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
14,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
14,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
14,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
14,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
14,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
15,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
15,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
15,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
15,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
15,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
15,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
15,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
16,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
16,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
16,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
16,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
16,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
16,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
16,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
17,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
17,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
17,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
17,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
17,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
17,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
17,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
18,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
18,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
18,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
18,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
18,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
18,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
18,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
19,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
19,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
19,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
19,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
19,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
19,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
19,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
20,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
20,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
20,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
20,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
20,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
20,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
20,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
21,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
21,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
21,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
21,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
21,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
21,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
21,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
22,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
22,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
22,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
22,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
22,majority ensemble,0.46296296296296297,1,0.7752052545155993,0.5161290322580645
22,union ensemble,0.35185185185185186,1,0.7878021978021978,0.4009216589861751
22,intersection ensemble,0.5370370370370371,5,0.47831325301204825,0.6175115207373272
23,function,0.46296296296296297,1,0.5694444444444445,0.5023041474654378
23,line,0.42592592592592593,1,0.5876642771804063,0.5023041474654378
23,branch,0.46296296296296297,1,0.6013729246487868,0.5023041474654378
23,ga_multi,0.4074074074074074,1,0.5688657407407408,0.5023041474654378
