,red=0.1,,,,red=0.25,,,,red=0.5,,,
Method,avg-fdl,std-fdl,avg-tsr,std-tsr,avg-fdl,std-fdl,avg-tsr,std-tsr,avg-fdl,std-fdl,avg-tsr,std-tsr
function,0.1666666667,0,0.9,0,0.1666666667,0,0.7513513514,0,0,0,0.5,0
line,0,0,0.9,0,0,0,0.7513513514,0,0,0,0.5,0
branch,0.1666666667,0,0.9,0,0.1666666667,0,0.7513513514,0,0,0,0.5,0
ga_multi,0.1666666667,0,0.9,0,0.1666666667,0,0.7513513514,0,0,0,0.5,0
majority ensemble,0.3333333333,0,0.9324324324,0.002370427079,0.1666666667,0,0.8156756757,0.002463420082,0,0,0.5583108108,0.003345998676
union ensemble,0,0,0.8122972973,0.002932056368,0,0,0.6063513514,0.002774513762,0,0,0.3412837838,0.003620240529
intersection ensemble,0.3333333333,0,0.9674324324,0.0005965443996,0.3333333333,0,0.8733783784,0.001681722931,0,0,0.6510810811,0.002582206508
