,red=0.1,,,,red=0.25,,,,red=0.5,,,
Method,avg-fdl,std-fdl,avg-tsr,std-tsr,avg-fdl,std-fdl,avg-tsr,std-tsr,avg-fdl,std-fdl,avg-tsr,std-tsr
function,0.8333333333,0,0.9032258065,0,0.7037037037,0,0.7511520737,0,0.462962963,0,0.5023041475,0
line,0.8333333333,0,0.9032258065,0,0.6296296296,0,0.7511520737,0,0.4259259259,0,0.5023041475,0
branch,0.8148148148,0,0.9032258065,0,0.6666666667,0,0.7511520737,0,0.462962963,0,0.5023041475,0
ga_multi,0.8148148148,0,0.9032258065,0,0.6111111111,0,0.7511520737,0,0.4074074074,0,0.5023041475,0
majority ensemble,0.8333333333,0,0.9078341014,0,0.6666666667,0,0.7695852535,0,0.462962963,0,0.5161290323,0
union ensemble,0.7962962963,0,0.8801843318,0,0.6111111111,0,0.6912442396,0,0.3518518519,0,0.400921659,0
intersection ensemble,0.8518518519,0,0.930875576,0,0.7222222222,0,0.8110599078,0,0.537037037,0,0.6175115207,0
