,red=0.1,,,,red=0.25,,,,red=0.5,,,
Method,avg-fdl,std-fdl,avg-tsr,std-tsr,avg-fdl,std-fdl,avg-tsr,std-tsr,avg-fdl,std-fdl,avg-tsr,std-tsr
function,0.9591836735,0,0.9014084507,0,0.8775510204,0,0.7521126761,0,0.4489795918,0,0.5014084507,0
line,0.9591836735,0,0.9014084507,0,0.8775510204,0,0.7521126761,0,0.4897959184,0,0.5014084507,0
branch,0.9591836735,0,0.9014084507,0,0.9183673469,0,0.7521126761,0,0.7142857143,0,0.5014084507,0
ga_multi,0.9591836735,0,0.9014084507,0,0.8775510204,0,0.7521126761,0,0.4897959184,0,0.5014084507,0
majority ensemble,0.9591836735,0,0.9098591549,0,0.8979591837,0,0.7746478873,0,0.4897959184,0,0.5154929577,0
union ensemble,0.9591836735,0,0.8591549296,0,0.8367346939,0,0.6676056338,0,0.4489795918,0,0.4056338028,0
intersection ensemble,0.9591836735,0,0.9352112676,0,0.9591836735,0,0.8338028169,0,0.7346938776,0,0.6028169014,0
