,red=0.1,,,,red=0.25,,,,red=0.5,,,
Method,avg-fdl,std-fdl,avg-tsr,std-tsr,avg-fdl,std-fdl,avg-tsr,std-tsr,avg-fdl,std-fdl,avg-tsr,std-tsr
function,0.1333333333,0.08456937723,0.9,0,0.1888888889,0.1433943557,0.7507462687,0,0.1111111111,0,0.5,0
line,0,0,0.9,0,0,0,0.7507462687,0,0,0,0.5,0
branch,0,0,0.9,0,0,0,0.7507462687,0,0,0,0.5,0
ga_multi,0,0,0.9,0,0,0,0.7507462687,0,0,0,0.5,0
majority ensemble,0.3333333333,0,0.9323880597,0.001118974013,0.3,0.1017095255,0.7787064677,0.002476902878,0,0,0.5513432836,0.002021538489
union ensemble,0,0,0.7942288557,0.003629243026,0,0,0.628358209,0.001662943327,0,0,0.3543781095,0.001648250678
intersection ensemble,0.4444444444,0,0.9778606965,0.001181309842,0.4444444444,0,0.8899502488,0.002214946922,0.1111111111,0,0.6362686567,0.001844709828
