,red=0.1,,,,red=0.25,,,,red=0.5,,,
Method,avg-fdl,std-fdl,avg-tsr,std-tsr,avg-fdl,std-fdl,avg-tsr,std-tsr,avg-fdl,std-fdl,avg-tsr,std-tsr
function,0.8,0,0.9010416667,0,0.7333333333,0,0.75,0,0.7333333333,0,0.5,0
line,0.8666666667,0,0.9010416667,0,0.7333333333,0,0.75,0,0.7333333333,0,0.5,0
branch,0.8666666667,0,0.9010416667,0,0.7333333333,0,0.75,0,0.7333333333,0,0.5,0
ga_multi,0.8666666667,0,0.9010416667,0,0.7333333333,0,0.75,0,0.7333333333,0,0.5,0
majority ensemble,0.8666666667,0,0.930859375,0.003280815413,0.7333333333,0,0.7951822917,0.005193287563,0.7333333333,0,0.5403645833,0.005468908982
union ensemble,0.8,0,0.8166666667,0.004673382111,0.7333333333,0,0.5969401042,0.005452589191,0.7333333333,0,0.353515625,0.005233313493
intersection ensemble,0.8666666667,0,0.9659505208,0.002313318883,0.7333333333,0,0.8823567708,0.004080962015,0.7333333333,0,0.6440755208,0.004768687205
