,red=0.1,,,,red=0.25,,,,red=0.5,,,
Method,avg-fdl,std-fdl,avg-tsr,std-tsr,avg-fdl,std-fdl,avg-tsr,std-tsr,avg-fdl,std-fdl,avg-tsr,std-tsr
function,0.25,0,0.9011124845,0,0.2416666667,0.03171351646,0.7503090235,0,0.0375,0.05826144996,0.500618047,0
line,0.125,0,0.9011124845,0,0,0,0.7503090235,0,0,0,0.500618047,0
branch,0.125,0,0.9011124845,0,0,0,0.7503090235,0,0,0,0.500618047,0
ga_multi,0.125,0,0.9011124845,0,0,0,0.7503090235,0,0,0,0.500618047,0
majority ensemble,0.25,0,0.9433044911,0.001111931879,0,0,0.8311495674,0.00230909997,0,0,0.5562010713,0.002744541962
union ensemble,0,0,0.7546353523,0.001740549592,0,0,0.5084466419,0.003546078646,0,0,0.3013185002,0.003781209405
intersection ensemble,0.4958333333,0.02282177323,0.9974042027,0.0003771675855,0.25,0,0.9600329625,0.00149932864,0.25,0,0.6999587969,0.002151614959
